tourId,block,order,text_ru,text_en
tour-2026-08,program,1,"Экскурсии по производствам — сборочные линии, цеха и лаборатории лидеров индустрии","Factory tours — assembly lines, workshops and labs of industry leaders"
tour-2026-08,program,2,"Демонстрации технологий — живые демо гуманоидов и сервисных роботов в действии","Technology demos — humanoids and service robots in action"
tour-2026-08,program,3,"Переговоры с топ-менеджментом — встречи с основателями и руководителями компаний","Talks with top management — meetings with founders and executives"
tour-2026-08,program,4,"Техническая экспертиза — наши инженеры помогают оценить продукт и задать нужные вопросы","Technical expertise — our engineers help evaluate products and ask the right questions"
tour-2026-08,program,5,"Перевод и сопровождение — логистика, переводчики и организация всех встреч","Interpretation and support — logistics, interpreters, meeting arrangements"
tour-2026-08,program,6,"Контакты для сделок — прямые выходы на закупки, дистрибуцию и партнёрство","Deal contacts — direct access to procurement, distribution and partnership"
tour-2026-08,included,1,"Проживание 6 суток в отелях 5 звёзд","6 nights in 5-star hotels"
tour-2026-08,included,2,"Питание: обед и ужин на протяжении всей поездки","Meals: lunch and dinner throughout the trip"
tour-2026-08,included,3,"Транспорт в Китае: автобус, перелёты между городами, такси","Transport in China: bus, domestic flights, taxi"
tour-2026-08,included,4,"Встреча и проводы в аэропорту","Airport pickup and drop-off"
tour-2026-08,included,5,"Услуги переводчика на всех встречах","Interpreter at all meetings"
tour-2026-08,included,6,"Согласование и организация визитов на 12 производств","Arranging visits to 12 production facilities"
tour-2026-08,included,7,"Сопровождение организатора на всех этапах","Organizer support at every stage"
tour-2026-08,included,8,"Лекции и техническая экспертиза в рамках посещений","Lectures and technical expertise during visits"
tour-2026-08,notIncluded,1,"Авиабилеты Москва — Китай — Москва, около 80 000 ₽","International flights Moscow — China — Moscow, about 80 000 RUB"
tour-2026-08,notIncluded,2,"Оформление визы и консульский сбор","Visa processing and consular fee"
tour-2026-08,notIncluded,3,"Медицинская страховка","Medical insurance"
tour-2026-08,notIncluded,4,"Завтраки, если не включены отелем","Breakfast, unless included by the hotel"
tour-2026-08,notIncluded,5,"Личные расходы и покупки","Personal expenses and purchases"
tour-2026-08,forWhom,1,"Закупщики и директора по развитию, которые ищут поставщиков робототехники напрямую, без посредников","Procurement and business development directors looking for direct robotics suppliers"
tour-2026-08,forWhom,2,"Технические директора и главные инженеры, которым нужно оценить оборудование до закупки","CTOs and chief engineers who need to evaluate equipment before purchase"
tour-2026-08,forWhom,3,"Владельцы производств, планирующие автоматизацию и выбирающие между решениями","Manufacturing owners planning automation and choosing between solutions"
tour-2026-08,forWhom,4,"Интеграторы и дистрибьюторы, которым нужны прямые контакты с заводами","Integrators and distributors seeking direct factory contacts"
tour-2026-08,youGet,1,"Понимание реальных закупочных цен без наценки посредников","Understanding of real purchase prices without intermediary markup"
tour-2026-08,youGet,2,"Прямые контакты с руководством и отделами закупок производителей","Direct contacts with management and procurement departments"
tour-2026-08,youGet,3,"Возможность увидеть реальное производство, а не выставочный стенд","A chance to see real production, not a trade show booth"
tour-2026-08,youGet,4,"Оценка оборудования вместе с нашими инженерами прямо на площадке","On-site equipment evaluation together with our engineers"
tour-2026-08,youGet,5,"Понимание, кто в индустрии реальный производитель, а кто витрина","Clarity on who is a real manufacturer and who is just a showroom"
tour-2026-08,youGet,6,"Возможность обсудить условия поставки на месте","The option to discuss supply terms on the spot"
tour-2026-08,advantages,1,"Минимум переездов — компании сгруппированы по технопаркам внутри городов","Minimal transfers — companies grouped by tech parks within cities"
tour-2026-08,advantages,2,"Логичная география — север, центр, юг Китая одним движением","Logical geography — north, center and south of China in one route"
tour-2026-08,advantages,3,"Максимум топ-компаний — 12 лидеров индустрии за одну поездку","Maximum top companies — 12 industry leaders in one trip"
tour-2026-08,advantages,4,"Баланс времени — плотная, но комфортная программа без спешки и простоев","Balanced pace — intensive yet comfortable, no rush and no idle time"
tour-2026-08,faqQuestion,1,"Нужна ли виза и помогаете ли с оформлением?","Do I need a visa and do you help with it?"
tour-2026-08,faqAnswer,1,"ЗАПОЛНИТЬ: порядок оформления визы, сроки подачи, помогаете ли вы","TO FILL"
tour-2026-08,faqQuestion,2,"Что будет, если я не смогу поехать?","What if I cannot travel?"
tour-2026-08,faqAnswer,2,"ЗАПОЛНИТЬ: условия возврата и переноса","TO FILL"
tour-2026-08,faqQuestion,3,"Размещение одноместное или двухместное?","Is accommodation single or double occupancy?"
tour-2026-08,faqAnswer,3,"ЗАПОЛНИТЬ","TO FILL"
tour-2026-08,faqQuestion,4,"Нужно ли знание английского или китайского?","Do I need English or Chinese?"
tour-2026-08,faqAnswer,4,"Нет. Переводчик сопровождает группу на всех встречах, включая технические переговоры.","No. An interpreter accompanies the group at all meetings, including technical negotiations."
tour-2026-08,faqQuestion,5,"Можно ли поехать вдвоём от одной компании?","Can two people from one company join?"
tour-2026-08,faqAnswer,5,"ЗАПОЛНИТЬ: возможны ли скидки для второго участника","TO FILL"
tour-2026-08,faqQuestion,6,"Почему программа 5 дней, а проживание 6 суток?","Why is the program 5 days but accommodation 6 nights?"
tour-2026-08,faqAnswer,6,"Заезд накануне первого дня визитов, вылет после завершения программы. Это позволяет начать работу с утра первого дня без спешки.","Arrival the day before the first visits, departure after the program ends."
